ticker,setup,entry,stop,target,rr,score
MRNA,PULLBACK_TO_VALUE,150.81,105.04,299.0,3.24,60.0
TECH,PULLBACK_TO_VALUE,71.07,66.49,91.4,4.44,36.4
CI,PULLBACK_TO_VALUE,279.43,270.11,305.8,2.83,8.8
