ticker,setup,entry,stop,target,rr,score
MRNA,PULLBACK_TO_VALUE,151.39,100.89,301.66,2.98,80.0
TECH,PULLBACK_TO_VALUE,71.07,66.34,91.4,4.3,36.9
CVS,PULLBACK_TO_VALUE,94.32,92.25,103.77,4.57,2.9
