ticker,setup,entry,stop,target,rr,score
ZBRA,ACCEPTANCE_BREAKOUT,260.87,244.24,341.36,4.84,68.2
STT,PULLBACK_TO_VALUE,183.67,155.65,256.23,2.59,37.2
