ticker,setup,entry,stop,target,rr,score
ZBRA,ACCEPTANCE_BREAKOUT,265.25,247.78,368.83,5.93,71.0
WRB,PULLBACK_TO_VALUE,71.39,69.57,76.44,2.77,4.0
